user_id,segment_label,age,income_tier,usage_frequency,tech_savviness,price_sensitivity,feature_adoption_rate,subscription_tier,churn_risk_baseline,engagement_score,satisfaction_score,name,email,locale,country
u_000000,early_adopter,24,mid,daily,10.0,2.7,0.723,basic,0.1356,100.0,69.5,Donald Bridges,lucasmerritt@example.org,bs_BA,Seychelles
u_000001,casual_browser,28,low,occasional,4.8,7.8,0.213,free,0.1374,44.5,58.9,Jane Vance MD,ksimmons@example.net,yi_US,Senegal
u_000002,casual_browser,31,low,occasional,2.1,6.2,0.193,basic,0.2462,36.0,48.3,Daniel Nguyen,reneeorr@example.net,or_IN,Moldova
u_000003,power_user,29,mid,daily,7.1,3.3,0.774,premium,0.0133,100.0,85.3,Tonya Wilson,srocha@example.net,zh_HK,Indonesia
u_000004,power_user,29,mid,daily,9.1,5.7,0.832,basic,0.0918,86.0,89.4,Kenneth Simon DVM,freemantodd@example.net,the_NP,Djibouti
u_000005,power_user,34,high,daily,6.9,1.4,0.792,free,0.0385,74.6,72.6,Tammy Thompson,washingtondarren@example.org,nhn_MX,Italy
u_000006,early_adopter,32,high,daily,8.4,2.4,0.886,premium,0.0623,90.4,84.3,Donald Andrews,jamesmendoza@example.org,eo_US,Uruguay
u_000007,enterprise_user,34,high,daily,4.9,2.8,0.589,premium,0.0763,65.6,89.9,Gary Smith,kennethbright@example.org,it_IT,Brazil
u_000008,early_adopter,25,low,weekly,8.3,2.0,0.805,premium,0.137,70.6,74.9,Francisco Silva,zmartin@example.net,kn_IN,Saint Barthelemy
u_000009,power_user,26,high,weekly,9.3,2.8,0.634,premium,0.1065,78.5,99.9,Adam Drake,millerleroy@example.org,nds_DE,India
u_000010,enterprise_user,35,mid,daily,9.2,2.4,0.559,premium,0.0332,71.4,76.9,David Collins,smithteresa@example.net,yo_NG,Trinidad and Tobago
u_000011,power_user,30,high,daily,9.0,6.5,0.839,premium,0.0706,67.8,91.0,Jonathan Carr,vsalas@example.net,bhb_IN,Maldives
u_000012,early_adopter,20,mid,weekly,9.7,3.0,0.871,premium,0.1035,86.0,81.8,Jeremy King,jesus33@example.org,pt_BR,Equatorial Guinea
