user_id,segment_label,age,income_tier,usage_frequency,tech_savviness,price_sensitivity,feature_adoption_rate,subscription_tier,churn_risk_baseline,engagement_score,satisfaction_score,name,email,locale,country
u_000000,early_adopter,38,high,daily,8.7,2.8,0.884,premium,0.1269,89.2,86.0,Michael Brown,stevenwright@example.org,sid_ET,Bangladesh
u_000001,price_sensitive,34,low,occasional,5.6,7.8,0.231,free,0.3839,33.0,39.0,David Ramos,boydmargaret@example.com,ia_FR,United States of America
u_000002,casual_browser,18,mid,occasional,5.5,4.7,0.105,free,0.3302,55.0,57.5,Joe Martin,janice00@example.net,ts_ZA,Austria
u_000003,enterprise_user,39,high,daily,8.6,1.2,0.462,premium,0.0385,74.9,62.3,Angela Pearson,jrogers@example.com,csb_PL,Togo
u_000004,power_user,29,high,daily,9.9,4.0,0.871,premium,0.0553,74.9,86.7,Tonya Wilson,srocha@example.net,zh_HK,Indonesia
u_000005,price_sensitive,34,low,weekly,6.2,8.9,0.12,free,0.3859,54.7,53.0,Stephanie Soto,dakotawilliams@example.org,se_NO,Micronesia
u_000006,casual_browser,36,low,occasional,3.7,8.2,0.396,free,0.2515,35.4,49.2,Victor Moore,barry68@example.com,id_ID,Bermuda
u_000007,power_user,36,mid,daily,10.0,4.7,0.891,premium,0.01,75.5,72.5,Steven Phillips,jessicaroman@example.com,hy_AM,Falkland Islands (Malvinas)
u_000008,early_adopter,32,mid,occasional,8.6,2.3,1.0,premium,0.1362,78.2,72.7,Brandon Barnes,raymondaguirre@example.com,ne_NP,Guernsey
u_000009,early_adopter,28,high,daily,9.0,3.1,0.943,premium,0.1357,71.7,93.4,Adrian Miller,riveratyler@example.net,sr_ME,Uganda
u_000010,early_adopter,25,high,daily,9.1,2.6,0.821,premium,0.1567,91.0,81.0,Ricky Sullivan,nelsonkaitlyn@example.net,mi_NZ,New Caledonia
u_000011,early_adopter,23,mid,weekly,10.0,1.0,0.994,basic,0.0518,94.6,81.1,Martin Miller,elopez@example.org,ia_FR,Cayman Islands
u_000012,price_sensitive,18,low,occasional,4.2,9.5,0.246,free,0.3468,26.0,41.4,Shannon Myers,rubenroberson@example.org,az_IN,French Southern Territories
u_000013,enterprise_user,45,mid,daily,8.2,2.2,0.672,premium,0.0477,80.4,74.7,Sharon Hall,terrirodriguez@example.net,dv_MV,Haiti
u_000014,price_sensitive,29,low,occasional,6.0,7.8,0.329,free,0.1,63.8,30.0,Susan Warner,nwong@example.org,fil_PH,Burundi
u_000015,early_adopter,26,high,daily,7.9,3.5,0.927,basic,0.0374,83.4,65.6,Crystal Gonzalez,robert39@example.org,oc_FR,Slovenia
u_000016,casual_browser,34,mid,daily,3.6,4.8,0.311,premium,0.2513,42.3,58.2,Rebecca Rice,jacob39@example.org,ky_KG,American Samoa
u_000017,price_sensitive,33,low,occasional,4.9,8.7,0.234,free,0.2901,55.5,38.5,Robert Dennis,mcleanbrittany@example.org,yue_HK,Heard Island and McDonald Islands
u_000018,casual_browser,40,mid,weekly,6.3,4.5,0.376,free,0.377,26.9,55.3,Melissa Garcia,john07@example.com,hak_TW,Belgium
u_000019,price_sensitive,29,low,weekly,5.0,7.6,0.422,free,0.3346,64.7,44.6,Heather Walker,justinarnold@example.com,xh_ZA,Costa Rica
u_000020,casual_browser,35,low,occasional,4.8,3.4,0.182,free,0.19,36.6,60.6,Alexander Schultz,nwarren@example.com,te_IN,Argentina
u_000021,power_user,29,high,daily,8.8,2.7,0.83,premium,0.136,72.1,68.0,Daniel Gibson,ewilson@example.org,li_NL,Isle of Man
u_000022,power_user,31,high,occasional,8.9,3.8,0.709,premium,0.0863,75.4,80.2,Jonathan Malone,edward03@example.net,hy_AM,Bangladesh
u_000023,enterprise_user,34,high,weekly,9.4,3.4,0.795,premium,0.1072,87.1,72.0,Kristi Carter,rmoore@example.net,gu_IN,Turkey
u_000024,enterprise_user,29,high,weekly,6.1,3.0,0.389,premium,0.0989,79.2,71.0,Katie Velez,morgansampson@example.net,ps_AF,Mayotte
u_000025,power_user,32,mid,daily,7.1,2.5,0.68,basic,0.0245,87.1,65.6,Bethany Liu,nathanlee@example.org,quz_PE,Israel
u_000026,casual_browser,27,mid,daily,3.8,6.5,0.516,free,0.2119,36.6,50.6,Debbie Johnson,staceycastro@example.net,fo_FO,Brazil
u_000027,casual_browser,46,mid,daily,7.6,6.6,0.55,basic,0.2203,34.6,73.1,David Thompson,shelley99@example.com,nl_AW,Netherlands Antilles
u_000028,early_adopter,23,mid,weekly,9.3,5.0,0.853,premium,0.1532,85.8,81.0,Brandon Johnson MD,kara36@example.net,nhn_MX,Bulgaria
u_000029,price_sensitive,32,low,weekly,2.1,6.6,0.236,basic,0.187,60.4,34.2,Matthew Bautista,cheryldavis@example.net,mhr_RU,Ethiopia
u_000030,casual_browser,34,mid,occasional,7.5,4.6,0.05,free,0.1765,38.1,59.6,Rebecca Carroll,obrewer@example.com,de_CH,Suriname
u_000031,early_adopter,24,mid,daily,10.0,2.0,0.852,premium,0.1515,76.7,75.4,Tyrone Boone,schmidtjohn@example.net,bs_BA,Mauritius
u_000032,casual_browser,36,mid,weekly,3.5,3.3,0.356,free,0.1425,36.7,41.9,Patty Madden,spenceraaron@example.org,tk_TM,Samoa
u_000033,power_user,27,high,daily,6.3,2.7,0.84,premium,0.0756,88.3,59.0,Daniel Walters,bbryan@example.org,tk_TM,Grenada
u_000034,power_user,28,mid,daily,7.2,5.3,0.612,premium,0.1687,69.0,74.5,Ms. Kelly Holder,adam33@example.com,apn_IN,Uruguay
u_000035,price_sensitive,33,low,daily,6.3,9.0,0.186,free,0.5196,30.5,58.9,Randy Gray,william34@example.net,ti_ET,Tanzania
u_000036,power_user,31,mid,daily,8.6,6.0,0.74,premium,0.086,72.7,68.7,Matthew Harper,fgregory@example.com,bem_ZM,Mauritius
u_000037,power_user,29,mid,weekly,8.8,3.6,0.822,premium,0.0969,67.5,76.0,Catherine Preston,warrenmary@example.org,vi_VN,Serbia
u_000038,power_user,28,high,daily,9.7,4.0,0.626,basic,0.1556,81.3,68.6,Jimmy Lee,theresa35@example.org,ast_ES,Fiji
u_000039,casual_browser,42,mid,weekly,6.5,5.9,0.384,basic,0.2364,55.0,55.6,David Sanders,ashley70@example.com,ha_NG,French Southern Territories
u_000040,enterprise_user,46,mid,weekly,4.6,6.1,0.348,premium,0.0306,75.8,85.2,Nicole Horne,vsmith@example.org,mhr_RU,Thailand
u_000041,casual_browser,39,mid,occasional,5.3,2.7,0.246,free,0.1419,54.8,58.0,Michael Edwards,robertopitts@example.org,hu_HU,French Southern Territories
u_000042,power_user,34,mid,occasional,9.6,2.0,0.722,basic,0.0957,68.8,67.1,Martha Wright,colemichael@example.org,ne_NP,Singapore
